"country","year","lifeExp","inf_mort","gdpPercap","gdp_growth","polity","libdem"
"Afghanistan",2007,43.828,102.2,974.5803384,13.7402049898513,NA,0.227
"Albania",2007,76.423,18.6,5937.029526,5.89999999980755,9,0.44
"Algeria",2007,72.301,30.7,6223.367465,3.37287515437164,2,0.161
"Angola",2007,42.731,147.6,4797.231267,22.5930542991417,-2,0.109
"Argentina",2007,75.32,15.8,12779.37964,9.00765087504757,8,0.621
"Australia",2007,81.235,5.4,34435.36744,3.74972737014126,10,0.835
"Austria",2007,79.829,4.6,36126.4927,3.62151043328871,10,0.801
"Bahrain",2007,75.635,9.8,29796.04834,8.29244382201286,-7,0.088
"Bangladesh",2007,64.062,59.3,1391.253792,7.05863620607012,-6,0.107
"Belgium",2007,79.441,4.8,33692.60508,3.44897379169034,8,0.821
"Benin",2007,56.728,118.1,1441.284873,5.98651552196785,7,0.56
"Bolivia",2007,65.554,54.6,3822.137084,4.56428492474335,8,0.462
"Bosnia and Herzegovina",2007,74.852,8.1,7446.298803,5.7287569117034,NA,0.409
"Botswana",2007,50.728,62,12569.85177,8.27676375751889,8,0.62
"Brazil",2007,72.39,23.2,9065.800825,6.06987284607507,8,0.78
"Bulgaria",2007,73.005,11.8,10680.79282,7.67535068185595,9,0.629
"Burkina Faso",2007,52.295,139,1217.032994,5.65500511828274,0,0.384
"Burundi",2007,49.58,110.6,430.0706916,4.78583195088814,6,0.193
"Cambodia",2007,59.723,56,1713.778686,10.2125739126309,2,0.123
"Cameroon",2007,50.43,125.7,2042.09524,4.90220173244047,-4,0.162
"Canada",2007,80.653,5.9,36319.23501,2.06274769025849,10,0.762
"Central African Republic",2007,44.741,159,706.016537,4.60753485452025,-1,0.193
"Chad",2007,50.651,161.6,1704.063724,3.27149957888643,-2,0.096
"Chile",2007,78.553,9.1,13171.63885,4.90532450356156,10,0.838
"China",2007,72.961,20,4959.114854,14.231388035688,-7,0.059
"Colombia",2007,72.889,20.4,7006.580419,6.90062765541222,7,0.44
"Comoros",2007,65.152,95.9,986.1478792,0.80015279901626,9,0.333
"Congo, Dem. Rep.",2007,46.462,128.3,277.5518587,6.2594698471958,NA,NA
"Congo, Rep.",2007,55.322,76.8,3632.557798,-1.58222275043937,NA,NA
"Costa Rica",2007,78.782,10.4,9645.06142,8.16789611559992,10,0.859
"Cote d'Ivoire",2007,48.328,120.1,1544.750112,1.76503678370024,NA,NA
"Croatia",2007,75.748,6.2,14619.22272,5.1500049796031,9,0.645
"Cuba",2007,78.273,6.4,8948.102923,7.26213696647943,-7,0.06
"Czech Republic",2007,76.486,3.9,22833.30851,5.60264368495965,9,0.833
"Denmark",2007,78.332,4.5,35278.41874,0.909252995846572,10,0.89
"Djibouti",2007,54.791,83.7,2082.481567,5.10006138735422,2,0.119
"Dominican Republic",2007,72.235,35.7,6025.374752,8.71041411849795,8,0.345
"Ecuador",2007,74.994,27.5,6873.262326,2.1900639722454,5,0.421
"Egypt",2007,71.338,NA,5581.180998,NA,-3,0.148
"El Salvador",2007,71.878,22.3,5728.353514,3.8397651770274,7,0.365
"Equatorial Guinea",2007,51.579,122.5,12154.08975,15.2821139194857,-6,0.06
"Eritrea",2007,58.04,62.9,641.3695236,1.42682206012488,-7,0.006
"Ethiopia",2007,52.947,97.1,690.8055759,11.4561669954333,-3,0.116
"Finland",2007,79.313,3.5,33207.0844,5.18480080885459,10,0.845
"France",2007,80.657,4.4,30470.0167,2.36149887323958,9,0.811
"Gabon",2007,56.735,71.6,13206.48452,6.00811574215278,-4,0.205
"Gambia",2007,59.448,NA,752.7497265,NA,-5,NA
"Germany",2007,79.406,4.5,32170.37442,3.26053529682157,10,0.87
"Ghana",2007,60.022,82.7,1327.60891,4.34681915311947,8,0.619
"Greece",2007,79.483,4.2,27538.41188,3.27374685710487,10,0.811
"Guatemala",2007,70.259,39.6,5186.050003,6.30405651460555,8,0.406
"Guinea",2007,56.007,122.1,942.6542111,6.51158743510165,-1,0.123
"Guinea-Bissau",2007,46.388,132.2,579.231743,3.20504763739369,6,0.283
"Haiti",2007,60.916,85.3,1201.637154,3.34327901461251,5,0.299
"Honduras",2007,70.198,26.8,3548.330846,6.18832716678008,7,0.318
"Hong Kong, China",2007,82.208,NA,39724.97867,NA,NA,NA
"Hungary",2007,73.338,6.8,18008.94444,0.434761638639912,10,0.778
"Iceland",2007,81.757,2.9,36180.78919,9.35006930673174,NA,0.801
"India",2007,64.698,68,2452.210407,9.80136033673229,9,0.58
"Indonesia",2007,70.65,38,3540.651564,6.34502222667214,8,0.547
"Iran",2007,70.964,NA,11605.71449,NA,-6,0.137
"Iraq",2007,59.545,39.5,4471.061906,1.37759814755975,NA,0.285
"Ireland",2007,78.885,4.6,40675.99635,5.20877181288417,10,0.814
"Israel",2007,80.745,5.1,25523.2771,5.77355331871927,6,0.682
"Italy",2007,80.546,4.2,28569.7197,1.47386854661877,10,0.792
"Jamaica",2007,72.567,19.3,7320.880262,1.43195403665118,9,0.655
"Japan",2007,82.603,3.5,31656.06806,1.65428290475633,10,0.759
"Jordan",2007,72.535,23,4519.461171,8.17571902230385,-3,0.208
"Kenya",2007,54.11,72.6,1463.249282,6.85072977063138,7,0.33
"Korea, Dem. Rep.",2007,67.297,NA,1593.06548,NA,NA,NA
"Korea, Rep.",2007,78.623,4.8,23348.13973,5.46339639319319,NA,NA
"Kuwait",2007,77.588,11.5,47306.98978,5.99166124640355,-7,0.291
"Lebanon",2007,71.993,12.2,10461.05868,9.34950276517124,6,0.271
"Lesotho",2007,42.592,111.6,1569.331442,4.83296332155336,8,0.431
"Liberia",2007,45.678,107.7,414.5073415,9.53489285750719,6,0.511
"Libya",2007,73.952,20.2,12057.49928,6.35231699447935,-7,0.045
"Madagascar",2007,59.443,73.7,1044.770126,6.24057845116124,7,0.276
"Malawi",2007,48.303,105.1,759.3499101,9.60000000260818,6,0.369
"Malaysia",2007,74.241,7.9,12451.6558,9.42766509940822,3,0.199
"Mali",2007,54.467,154.7,1042.581557,3.49361681063969,7,0.429
"Mauritania",2007,64.164,105.2,1803.151496,2.81783677236747,4,0.229
"Mauritius",2007,72.801,16.1,10956.99112,5.72701614247435,10,0.719
"Mexico",2007,76.195,19,11977.57496,3.20412301672219,8,0.459
"Mongolia",2007,66.803,34.5,3095.772271,10.2480163600961,10,0.557
"Montenegro",2007,74.543,8.9,9253.896111,10.6579013307525,9,0.397
"Morocco",2007,71.164,37.5,3820.17523,3.53159415154489,-6,0.24
"Mozambique",2007,42.082,118.7,823.6856205,7.42606099055689,5,0.339
"Myanmar",2007,62.069,72.5,944,11.9914352400499,NA,NA
"Namibia",2007,52.906,63.7,4811.060429,6.61709445317678,6,0.55
"Nepal",2007,63.785,55.2,1091.359778,3.41156027569262,6,0.289
"Netherlands",2007,79.762,5,36797.93332,3.69847310615528,10,0.823
"New Zealand",2007,80.204,6.4,25185.00911,2.88742689592247,10,0.837
"Nicaragua",2007,72.899,28.4,2749.320965,5.0763520180987,9,0.243
"Niger",2007,56.867,150.8,619.6768924,3.14657039559731,6,0.419
"Nigeria",2007,46.859,146,2013.977305,6.82839834798028,4,0.298
"Norway",2007,80.196,3.7,49357.19017,2.98505483698031,10,0.866
"Oman",2007,75.64,12.2,22316.19287,4.45269430369515,-8,0.126
"Pakistan",2007,65.483,97.7,2605.94758,4.83281727717085,2,0.212
"Panama",2007,75.537,21.6,9809.185636,11.9839854467634,9,0.577
"Paraguay",2007,71.752,26.7,4172.838464,5.42162246303009,8,0.453
"Peru",2007,71.421,23.9,7408.905561,8.5183877690955,9,0.629
"Philippines",2007,71.688,34.2,3190.481016,6.61666850460657,8,0.359
"Poland",2007,75.563,7,15389.92468,7.03480198719724,10,0.799
"Portugal",2007,78.098,4.2,20509.64777,2.49200131787468,10,0.836
"Puerto Rico",2007,78.746,NA,19328.70901,-3.32570178608947,NA,NA
"Reunion",2007,76.442,NA,7670.122558,NA,NA,NA
"Romania",2007,72.476,14.5,10808.47561,6.86375738198149,9,0.485
"Rwanda",2007,46.242,89.5,863.0884639,7.69230769230769,-3,0.123
"Sao Tome and Principe",2007,65.528,54.3,1598.435089,3.25360491188511,NA,0.549
"Saudi Arabia",2007,72.777,17.3,21654.83194,1.84713025161132,-10,0.046
"Senegal",2007,63.062,82,1712.472136,4.93848508315149,7,0.527
"Serbia",2007,74.002,8.1,9786.534714,5.88876007842252,8,0.514
"Sierra Leone",2007,42.568,187.9,862.5407561,8.0583215639475,7,0.346
"Singapore",2007,79.972,2.9,47143.17964,9.11152714756238,-2,0.299
"Slovak Republic",2007,74.663,7.7,18678.31435,10.7995770486887,10,NA
"Slovenia",2007,77.926,3.8,25768.25759,6.94164566907808,10,0.746
"Somalia",2007,48.159,171.9,926.1410683,NA,0,0.105
"South Africa",2007,49.339,69.4,9269.657808,5.36046513961614,9,0.668
"Spain",2007,80.941,4.4,28821.0637,3.76899240771773,10,0.811
"Sri Lanka",2007,72.396,12.9,3970.095407,6.79682611895811,6,0.241
"Sudan",2007,58.556,83.5,2602.394995,11.5219100333712,-4,0.068
"Swaziland",2007,39.613,111.7,4513.480643,4.43537557686975,-9,NA
"Sweden",2007,80.884,3.3,33859.74835,3.40494889523524,10,0.88
"Switzerland",2007,81.701,4.8,37506.41907,4.11187781207605,10,0.844
"Syria",2007,74.143,NA,4184.548089,NA,-7,0.053
"Taiwan",2007,78.4,NA,28718.27684,NA,10,0.68
"Tanzania",2007,52.517,83.7,1107.482182,8.46438124155671,-1,0.408
"Thailand",2007,70.616,16.7,7458.396327,5.43509256989793,-1,0.187
"Togo",2007,58.42,98.3,882.9699438,2.29045388913028,-4,0.203
"Trinidad and Tobago",2007,69.819,24.2,18008.50924,4.75418995771064,10,0.65
"Tunisia",2007,73.923,20.5,7092.923025,6.70962039184595,-4,0.091
"Turkey",2007,71.777,23.7,8458.276384,5.03045777588709,7,0.496
"Uganda",2007,51.542,100.5,1056.380121,8.41242596550525,-1,0.276
"United Kingdom",2007,79.425,5.8,33203.26128,2.35670822982289,10,0.811
"United States",2007,78.242,7.8,42951.65309,1.77857023965289,10,NA
"Uruguay",2007,76.384,12.7,10611.46299,6.5415108477149,10,0.821
"Venezuela",2007,73.747,NA,11415.80569,NA,5,0.162
"Vietnam",2007,74.249,24.3,2441.576404,7.12950448396323,-7,0.12
"West Bank and Gaza",2007,73.422,24.8,3025.349798,6.59059354390831,NA,NA
"Yemen, Rep.",2007,62.698,64.8,2280.769906,3.33842795605096,NA,NA
"Zambia",2007,42.384,98,1271.211593,8.35243624447408,5,0.433
"Zimbabwe",2007,43.487,100,469.7092981,-3.65332704339562,-4,0.152
"Armenia",2007,NA,21.1,NA,13.7492019586216,5,0.192
"Azerbaijan",2007,NA,46,NA,25.0489995231791,-7,0.071
"Bhutan",2007,NA,51.3,NA,17.9258249448258,-5,0.17
"Belarus",2007,NA,7.2,NA,8.60000000013865,-7,0.095
"Bosnia",2007,NA,NA,NA,NA,NA,NA
"Cape Verde",2007,NA,NA,NA,NA,10,0.694
"Congo Brazzaville",2007,NA,NA,NA,NA,-4,NA
"Cyprus",2007,NA,4.3,NA,4.82071054104954,10,0.745
"Estonia",2007,NA,5.9,NA,7.74819236807274,9,0.811
"East Timor",2007,NA,NA,NA,NA,7,NA
"Fiji",2007,NA,23.8,NA,-0.850653534569233,-4,0.115
"Georgia",2007,NA,20.8,NA,12.3439998799117,6,0.39
"Guyana",2007,NA,39.9,NA,7.02031345100431,6,0.387
"Ivory Coast",2007,NA,NA,NA,NA,0,0.31
"Kyrgyzstan",2007,NA,NA,NA,NA,3,0.176
"Kazakhstan",2007,NA,28,NA,8.89999999999405,-6,0.134
"Laos",2007,NA,NA,NA,NA,-7,0.089
"Latvia",2007,NA,9.3,NA,9.97926932969439,8,0.684
"Lithuania",2007,NA,8,NA,11.0869543879434,10,0.775
"Luxembourg",2007,NA,3.2,NA,8.35455320905589,10,0.777
"Macedonia",2007,NA,NA,NA,NA,9,NA
"Moldova",2007,NA,18.1,NA,3.00000019887585,9,0.36
"Myanmar (Burma)",2007,NA,NA,NA,NA,-8,NA
"Papua New Guinea",2007,NA,70.4,NA,11.0977804439112,4,0.36
"Korea North",2007,NA,NA,NA,NA,-10,NA
"Qatar",2007,NA,9.7,NA,17.9856567913966,-10,0.107
"Korea South",2007,NA,NA,NA,NA,8,NA
"Russia",2007,NA,NA,NA,NA,4,0.149
"Solomon Islands",2007,NA,28.7,NA,7.32000126370329,8,0.428
"Suriname",2007,NA,26.5,NA,5.11148780805843,5,0.673
"Tajikistan",2007,NA,58.4,NA,7.80000134446486,-3,0.068
"Turkmenistan",2007,NA,68.1,NA,11.05929947045,-9,0.02
"UAE",2007,NA,NA,NA,NA,-8,NA
"Ukraine",2007,NA,13.4,NA,7.90000076597804,7,0.429
"Uzbekistan",2007,NA,44,NA,9.92115384822563,-9,0.035
"Yemen",2007,NA,NA,NA,NA,-2,0.121
"Congo Kinshasa",2007,NA,NA,NA,NA,5,NA
"Burma/Myanmar",2007,NA,NA,NA,NA,NA,0.018
"United States of America",2007,NA,NA,NA,NA,NA,0.845
"North Korea",2007,NA,NA,NA,NA,NA,0.014
"South Korea",2007,NA,NA,NA,NA,NA,0.774
"Kosovo",2007,NA,NA,NA,7.28608298590432,NA,0.347
"Timor-Leste",2007,NA,72.9,NA,11.4427860696517,NA,0.456
"Maldives",2007,NA,17.8,NA,7.71386729410621,NA,0.129
"Democratic Republic of the Congo",2007,NA,NA,NA,NA,NA,0.152
"Republic of the Congo",2007,NA,NA,NA,NA,NA,0.094
"The Gambia",2007,NA,NA,NA,NA,NA,0.116
"Palestine/West Bank",2007,NA,NA,NA,NA,NA,0.212
"Eswatini",2007,NA,NA,NA,NA,NA,0.102
"Palestine/Gaza",2007,NA,NA,NA,NA,NA,0.11
"Somaliland",2007,NA,NA,NA,NA,NA,0.256
"Barbados",2007,NA,15,NA,1.76428443489162,NA,0.656
"Hong Kong",2007,NA,NA,NA,NA,NA,0.317
"North Macedonia",2007,NA,NA,NA,NA,NA,0.471
"Malta",2007,NA,6.8,NA,3.98644870571982,NA,0.616
"Seychelles",2007,NA,14.2,NA,10.4214361107185,NA,0.348
"Slovakia",2007,NA,NA,NA,NA,NA,0.736
"Vanuatu",2007,NA,28.7,NA,5.17351325777055,NA,0.511
"United Arab Emirates",2007,NA,9.3,NA,3.18439017367238,NA,0.078
"Zanzibar",2007,NA,NA,NA,NA,NA,0.221
"American Samoa",2007,NA,NA,NA,1.96353436185133,NA,NA
"Andorra",2007,NA,3.6,NA,0.0400110668908411,NA,NA
"Antigua and Barbuda",2007,NA,11.4,NA,9.25942068972286,NA,NA
"Aruba",2007,NA,NA,NA,-3.65462624193272,NA,NA
"Bahamas, The",2007,NA,15.6,NA,1.44652221530926,NA,NA
"Belize",2007,NA,20.1,NA,1.10431080361893,NA,NA
"Bermuda",2007,NA,NA,NA,2.84589011430658,NA,NA
"British Virgin Islands",2007,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",2007,NA,11.1,NA,0.154581811742773,NA,NA
"Cabo Verde",2007,NA,27.8,NA,15.1706880040722,NA,NA
"Cayman Islands",2007,NA,NA,NA,NA,NA,NA
"Channel Islands",2007,NA,NA,NA,5.89832966146942,NA,NA
"Curacao",2007,NA,NA,NA,NA,NA,NA
"Data from database: World Development Indicators",2007,NA,NA,NA,NA,NA,NA
"Dominica",2007,NA,17.6,NA,6.32100569259958,NA,NA
"Egypt, Arab Rep.",2007,NA,33.1,NA,7.09027100116029,NA,NA
"Faroe Islands",2007,NA,NA,NA,NA,NA,NA
"French Polynesia",2007,NA,NA,NA,NA,NA,NA
"Gambia, The",2007,NA,89.4,NA,3.63102583200823,NA,NA
"Gibraltar",2007,NA,NA,NA,NA,NA,NA
"Greenland",2007,NA,NA,NA,0.597979933334457,NA,NA
"Grenada",2007,NA,14.7,NA,6.1229118926276,NA,NA
"Guam",2007,NA,NA,NA,0.817731870023678,NA,NA
"Hong Kong SAR, China",2007,NA,NA,NA,6.46482536618178,NA,NA
"Iran, Islamic Rep.",2007,NA,22.7,NA,8.15577352358649,NA,NA
"Isle of Man",2007,NA,NA,NA,7.45706504429005,NA,NA
"Kiribati",2007,NA,64.5,NA,2.20217192536039,NA,NA
"Korea, Dem. Peopleâ€™s Rep.",2007,NA,32.2,NA,NA,NA,NA
"Kyrgyz Republic",2007,NA,35.8,NA,8.54287489612278,NA,NA
"Lao PDR",2007,NA,89,NA,7.59682880056087,NA,NA
"Last Updated: 12/22/2017",2007,NA,NA,NA,NA,NA,NA
"Liechtenstein",2007,NA,NA,NA,3.32596295615288,NA,NA
"Macao SAR, China",2007,NA,NA,NA,14.4474495848161,NA,NA
"Macedonia, FYR",2007,NA,12.3,NA,6.47348685752347,NA,NA
"Marshall Islands",2007,NA,39.4,NA,3.65317219221694,NA,NA
"Micronesia, Fed. Sts.",2007,NA,43.9,NA,-1.96240604883478,NA,NA
"Monaco",2007,NA,4.3,NA,14.5824423176597,NA,NA
"Nauru",2007,NA,39.4,NA,NA,NA,NA
"New Caledonia",2007,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands",2007,NA,NA,NA,-6.71256454388984,NA,NA
"Palau",2007,NA,21.4,NA,-0.052446689041048,NA,NA
"Russian Federation",2007,NA,12,NA,8.53508020938196,NA,NA
"Samoa",2007,NA,19.2,NA,6.32264176336442,NA,NA
"San Marino",2007,NA,3.8,NA,7.13022981732469,NA,NA
"Sint Maarten (Dutch part)",2007,NA,NA,NA,NA,NA,NA
"South Sudan",2007,NA,127.9,NA,NA,NA,NA
"St. Kitts and Nevis",2007,NA,14.2,NA,-0.176540921476558,NA,NA
"St. Lucia",2007,NA,16.5,NA,1.98978386780857,NA,NA
"St. Martin (French part)",2007,NA,NA,NA,NA,NA,NA
"St. Vincent and the Grenadines",2007,NA,22,NA,-1.58157484073644,NA,NA
"Syrian Arab Republic",2007,NA,17.5,NA,5.69999999644881,NA,NA
"Tonga",2007,NA,16.8,NA,-4.16577572183192,NA,NA
"Turks and Caicos Islands",2007,NA,NA,NA,NA,NA,NA
"Tuvalu",2007,NA,33.8,NA,6.35056487504279,NA,NA
"Venezuela, RB",2007,NA,17.5,NA,8.7535788078585,NA,NA
"Virgin Islands (U.S.)",2007,NA,NA,NA,4.03545602985771,NA,NA
